problem,method,seed,iterations,final_objective,best_objective,final_primal,final_dual,final_rho,rho_changes,final_status,precision_relative_error,support_f1,beta_relative_error,signal_relative_error
tv_denoising,fixed_rho_10.0,1,150,3.7140983124292313,3.714015166301837,7.210636950428824e-07,0.00039651627938338564,10.0,0,running,,,,0.0723783685746652
tv_denoising,residual_balance,1,150,3.7139695815955345,1.774975053301198,0.00018423891097169937,2.0752863292936073e-05,1.0,0,running,,,,0.07236133786178868
tv_denoising,online_ogd,1,80,3.714035028304795,1.774975053301198,9.988061037892244e-05,5.4456750189142715e-05,2.154800595646443,80,converged,,,,0.07236197366435038
tv_denoising,online_ogd_epoch3,1,95,3.7140369987715967,1.774975053301198,9.605258786763517e-05,6.0590104952624636e-05,2.268869821099189,31,converged,,,,0.07236201025523137
tv_denoising,fixed_rho_0.1,2,150,4.557792862664867,9.841095764971131e-31,0.04294810053695529,0.00015337857578309866,0.1,0,running,,,,0.05490044144699978
tv_denoising,fixed_rho_1.0,2,150,4.6143044082123765,3.0752807572503054,0.0003501921118174949,4.1073119506540045e-05,1.0,0,running,,,,0.05366471187425967
tv_denoising,fixed_rho_10.0,2,150,4.61438704359195,4.6141142888475475,3.0619093363084204e-07,0.00010823481765943538,10.0,0,running,,,,0.05366428851400399
tv_denoising,residual_balance,2,134,4.614363970455723,3.0752807572503054,9.913032116601774e-05,4.8561431907759745e-05,2.0,1,converged,,,,0.05366437973129026
tv_denoising,online_ogd,2,89,4.614366232203869,3.0752807572503054,9.203690396640589e-05,9.104027373632475e-05,2.757140459293455,89,converged,,,,0.05366382083600709
tv_denoising,online_ogd_epoch3,2,109,4.614365312044738,3.0752807572503054,9.34705797128363e-05,7.00383417541493e-05,2.4486244071860064,36,converged,,,,0.053664108083785626
